enforcement_rank,zone,inference_date,source_guess,confidence,vehicle_emission_load_index,composite_score,rank_reason,land_use_note,heuristic_label,prob_dust,prob_crop_burning_smoke,prob_industrial_haze,prob_traffic_heavy,prob_clear,model_version,data_provenance,ranked_at
1,Dwarka,2026-07-16,dust,0.9335,0.78,0.6074,dust source signature [conf=0.93]; high vehicle load (index=0.78) -> dust suppression over traffic enforcement,land-use signal absent from this repo -- scoring uses only satellite + vehicle data,dust,0.9335,0.0014,0.0529,0.0017,0.0103,247-image placeholder -- not final,"correlation-based (heuristic CAAQMS labels, not ground truth)",2026-07-21T18:38:42+00:00
2,Okhla,2026-07-16,traffic_heavy,0.5188,0.248,0.5932,traffic-dominated source [conf=0.52]; low registered vehicle density (index=0.25) -> enforcement-priority zone,land-use signal absent from this repo -- scoring uses only satellite + vehicle data,dust,0.3531,0.0166,0.0566,0.5188,0.0549,247-image placeholder -- not final,"correlation-based (heuristic CAAQMS labels, not ground truth)",2026-07-21T18:38:42+00:00
3,Mundka,2026-07-16,dust,0.9964,0.509,0.5513,dust source signature [conf=1.00]; moderate vehicle load (index=0.51) -> dust suppression over traffic enforcement,land-use signal absent from this repo -- scoring uses only satellite + vehicle data,dust,0.9964,0.0003,0.0024,0.0,0.0008,247-image placeholder -- not final,"correlation-based (heuristic CAAQMS labels, not ground truth)",2026-07-21T18:38:42+00:00
4,Rohini,2026-07-16,traffic_heavy,0.382,0.551,0.5473,traffic-dominated source [conf=0.38]; moderate registered vehicle density (index=0.55) -> enforcement-priority zone,land-use signal absent from this repo -- scoring uses only satellite + vehicle data,dust,0.3473,0.0142,0.0766,0.382,0.1798,247-image placeholder -- not final,"correlation-based (heuristic CAAQMS labels, not ground truth)",2026-07-21T18:38:42+00:00
5,RK_Puram,2026-07-16,crop_burning_smoke,0.6621,1.0,0.4986,"crop-burning smoke signature [conf=0.66]; high vehicle load (index=1.00) -> seasonal/rural source, limited local enforcement scope",land-use signal absent from this repo -- scoring uses only satellite + vehicle data,industrial_haze,0.2524,0.6621,0.0248,0.0539,0.0068,247-image placeholder -- not final,"correlation-based (heuristic CAAQMS labels, not ground truth)",2026-07-21T18:38:42+00:00
6,Bawana,2026-07-16,dust,0.8316,0.276,0.4154,dust source signature [conf=0.83]; low vehicle load (index=0.28) -> dust suppression over traffic enforcement,land-use signal absent from this repo -- scoring uses only satellite + vehicle data,dust,0.8316,0.0014,0.1143,0.0301,0.0227,247-image placeholder -- not final,"correlation-based (heuristic CAAQMS labels, not ground truth)",2026-07-21T18:38:42+00:00
7,Wazirpur,2026-07-16,dust,0.7846,0.315,0.4083,dust source signature [conf=0.78]; low vehicle load (index=0.32) -> dust suppression over traffic enforcement,land-use signal absent from this repo -- scoring uses only satellite + vehicle data,dust,0.7846,0.087,0.0766,0.0489,0.0029,247-image placeholder -- not final,"correlation-based (heuristic CAAQMS labels, not ground truth)",2026-07-21T18:38:42+00:00
8,Anand_Vihar,2026-07-16,dust,0.845,0.191,0.3953,dust source signature [conf=0.84]; low vehicle load (index=0.19) -> dust suppression over traffic enforcement,land-use signal absent from this repo -- scoring uses only satellite + vehicle data,dust,0.845,0.0025,0.0466,0.1018,0.0041,247-image placeholder -- not final,"correlation-based (heuristic CAAQMS labels, not ground truth)",2026-07-21T18:38:42+00:00
9,Vivek_Vihar,2026-07-16,dust,0.7255,0.191,0.3475,dust source signature [conf=0.73]; low vehicle load (index=0.19) -> dust suppression over traffic enforcement,land-use signal absent from this repo -- scoring uses only satellite + vehicle data,dust,0.7255,0.1613,0.0811,0.0297,0.0025,247-image placeholder -- not final,"correlation-based (heuristic CAAQMS labels, not ground truth)",2026-07-21T18:38:42+00:00
10,Narela,2026-07-16,dust,0.593,0.286,0.323,dust source signature [conf=0.59]; low vehicle load (index=0.29) -> dust suppression over traffic enforcement,land-use signal absent from this repo -- scoring uses only satellite + vehicle data,dust,0.593,0.0102,0.0223,0.2989,0.0756,247-image placeholder -- not final,"correlation-based (heuristic CAAQMS labels, not ground truth)",2026-07-21T18:38:42+00:00
11,Jahangirpuri,2026-07-16,crop_burning_smoke,0.7169,0.275,0.2976,"crop-burning smoke signature [conf=0.72]; low vehicle load (index=0.28) -> seasonal/rural source, limited local enforcement scope",land-use signal absent from this repo -- scoring uses only satellite + vehicle data,dust,0.2225,0.7169,0.02,0.0369,0.0037,247-image placeholder -- not final,"correlation-based (heuristic CAAQMS labels, not ground truth)",2026-07-21T18:38:42+00:00
12,Ashok_Vihar,2026-07-16,crop_burning_smoke,0.5208,0.315,0.2507,"crop-burning smoke signature [conf=0.52]; low vehicle load (index=0.32) -> seasonal/rural source, limited local enforcement scope",land-use signal absent from this repo -- scoring uses only satellite + vehicle data,dust,0.3637,0.5208,0.0405,0.0691,0.006,247-image placeholder -- not final,"correlation-based (heuristic CAAQMS labels, not ground truth)",2026-07-21T18:38:42+00:00
13,Punjabi_Bagh,2026-07-16,clear,0.5577,0.343,0.1029,no significant pollution event at prediction date [conf=0.56]; vehicle load index=0.34,land-use signal absent from this repo -- scoring uses only satellite + vehicle data,industrial_haze,0.2383,0.0091,0.1767,0.0183,0.5577,247-image placeholder -- not final,"correlation-based (heuristic CAAQMS labels, not ground truth)",2026-07-21T18:38:42+00:00
